Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR,,,,,,
1895,8.8,10.1,26.1,46.5,56.8,67.0,67.2,67.7,63.6,40.9,29.9,23.8,42.4,,,,,,
1896,17.2,19.0,22.5,45.0,62.1,66.2,69.2,68.1,54.8,43.1,26.6,27.3,43.4,,,,,,
1897,14.0,20.5,25.6,42.9,53.4,62.6,71.9,64.0,64.4,51.7,29.0,15.1,42.9,,,,,,
1898,19.8,19.4,32.8,42.5,54.9,66.1,70.0,66.4,61.3,44.2,30.8,14.2,43.5,,,,,,
1899,12.5,7.9,19.0,46.2,55.0,65.5,69.7,69.6,56.2,51.1,39.0,19.9,42.6,,,,,,
1900,20.3,9.9,23.6,47.0,58.3,65.0,68.0,73.5,60.0,55.4,29.1,22.2,44.4,,,,,,
1901,16.3,10.6,27.0,45.7,55.1,66.8,74.7,68.5,58.3,49.7,30.7,16.4,43.3,,,,,,
1902,17.2,15.7,34.9,43.2,57.2,61.4,70.0,64.6,55.9,48.5,38.2,16.3,43.6,,,,,,
1903,14.6,16.0,35.5,44.2,55.9,61.8,68.5,63.1,57.6,47.2,28.7,11.4,42.0,,,,,,
1904,6.7,5.9,26.9,38.3,55.2,63.3,66.5,63.7,58.8,47.7,36.3,17.8,40.6,,,,,,
1905,7.0,9.7,32.3,42.6,52.8,63.7,67.5,67.7,61.3,45.5,33.2,22.7,42.2,,,,,,
1906,20.3,15.8,23.0,46.6,54.1,64.0,68.1,69.5,63.2,46.5,32.9,21.3,43.8,,,,,,
1907,11.5,18.0,32.4,35.4,46.9,63.1,67.9,64.8,58.0,44.8,32.4,22.8,41.5,,,,,,
1908,19.0,19.2,30.3,44.2,55.3,63.2,69.8,66.1,64.4,48.5,34.5,19.5,44.5,,,,,,
1909,16.4,19.7,27.2,36.9,52.3,64.5,68.1,70.1,56.9,44.0,38.4,14.0,42.4,,,,,,
1910,13.6,12.6,40.7,46.8,50.4,66.4,70.9,67.2,57.5,50.4,27.2,16.5,43.4,,,,,,
1911,13.9,22.1,32.3,41.6,59.6,69.0,69.1,64.8,57.9,44.8,25.3,25.0,43.8,,,,,,
1912,-4.0,11.0,20.5,44.2,55.1,62.3,68.2,63.0,59.1,48.2,34.2,23.5,40.4,,,,,,
1913,14.8,11.0,24.1,44.6,52.7,66.3,67.7,67.5,58.2,45.5,37.7,28.4,43.2,,,,,,
1914,21.4,7.7,27.0,41.1,57.0,63.5,71.0,66.2,58.8,52.6,33.4,13.1,42.7,,,,,,
1915,11.6,24.2,26.4,51.2,49.9,59.3,64.6,61.3,58.8,48.1,34.1,20.3,42.5,,,,,,
1916,14.5,11.9,23.8,41.8,53.5,59.1,75.0,68.9,56.4,45.9,31.0,12.9,41.2,,,,,,
1917,8.3,5.3,26.7,39.2,49.6,59.6,69.3,63.6,56.4,37.3,35.0,10.7,38.4,,,,,,
1918,2.6,14.5,34.2,39.5,57.3,63.3,67.2,68.6,52.3,48.8,35.6,27.0,42.6,,,,,,
1919,20.8,19.1,30.0,42.3,53.2,68.8,71.1,65.8,60.6,45.5,28.5,8.9,42.9,,,,,,
1920,5.9,14.1,29.3,36.9,53.4,65.3,66.1,65.0,61.6,54.0,31.3,23.2,42.2,,,,,,
1921,21.3,22.7,33.1,48.0,57.4,69.5,75.4,67.3,62.3,48.1,28.0,20.0,46.1,,,,,,
1922,11.8,14.4,32.9,42.3,60.1,65.5,66.5,67.7,61.2,49.5,37.8,17.3,43.9,,,,,,
1923,16.7,9.1,20.4,40.0,54.1,67.9,70.7,64.1,58.7,45.4,36.1,29.0,42.7,,,,,,
1924,5.2,18.9,26.5,41.0,47.7,60.5,65.6,64.7,54.1,52.7,32.6,10.3,40.0,,,,,,
1925,13.8,20.1,31.4,48.0,51.0,65.1,67.6,67.8,61.9,37.2,30.7,15.1,42.5,,,,,,
1926,15.0,20.0,21.7,38.9,56.2,60.1,68.2,66.3,56.1,44.3,27.1,15.0,40.7,,,,,,
1927,11.8,22.5,34.0,42.5,51.3,61.0,66.5,62.0,61.2,49.4,31.7,12.8,42.2,,,,,,
1928,16.4,19.0,28.4,37.0,56.1,59.6,68.7,67.0,55.0,48.6,34.7,23.6,42.8,,,,,,
1929,2.2,8.7,31.7,44.5,51.3,61.7,69.4,65.7,58.0,46.6,28.3,19.0,40.6,,,,,,
1930,7.5,23.9,29.2,44.4,55.8,65.8,70.4,69.1,59.6,45.7,35.6,21.0,44.0,,,,,,
1931,22.5,27.8,29.4,45.1,52.7,68.5,72.6,66.7,64.8,51.8,39.8,28.9,47.6,,,,,,
1932,21.5,19.8,21.2,41.4,55.3,66.9,70.3,68.4,57.2,44.4,28.6,17.1,42.7,,,,,,
1933,23.3,12.9,27.5,40.9,55.5,72.0,71.6,65.9,63.2,44.3,29.2,17.0,43.6,,,,,,
1934,21.7,13.9,25.5,41.7,61.8,68.7,71.1,64.9,56.8,49.9,37.0,15.5,44.0,,,,,,
1935,10.9,20.3,30.9,40.9,50.4,60.3,74.0,68.0,58.0,46.7,29.5,18.1,42.3,,,,,,
1936,7.6,1.2,29.5,37.0,59.5,62.3,74.8,69.8,61.9,43.8,29.1,22.2,41.6,,,,,,
1937,10.1,15.1,24.9,40.7,56.0,63.9,71.6,72.7,59.6,43.8,30.1,16.7,42.1,,,,,,
1938,13.5,22.0,35.2,44.3,54.3,63.9,69.5,70.0,58.6,52.1,33.2,19.8,44.7,,,,,,
1939,20.4,12.7,27.7,39.9,59.0,65.6,71.0,67.7,61.4,47.0,34.5,27.7,44.6,,,,,,
1940,8.4,19.8,22.6,40.0,51.9,64.1,70.5,66.1,60.5,50.0,29.7,21.7,42.1,,,,,,
1941,17.6,16.3,24.3,49.1,59.4,66.0,70.6,68.0,61.2,48.6,35.8,26.8,45.3,,,,,,
1942,17.2,17.6,32.9,49.0,53.3,64.1,68.3,66.9,56.2,47.8,32.4,15.1,43.4,,,,,,
1943,10.4,17.4,22.0,40.7,53.3,67.3,71.4,68.7,54.9,47.4,28.7,21.5,42.0,,,,,,
1944,24.5,20.2,25.2,39.8,58.9,67.0,68.6,69.1,59.8,48.0,38.0,17.2,44.7,,,,,,
1945,11.6,17.5,39.0,43.2,50.0,59.7,66.9,67.3,58.0,45.8,32.0,14.7,42.1,,,,,,
1946,17.2,17.0,39.4,46.4,52.7,63.6,69.4,65.3,58.2,50.9,33.9,21.4,44.6,,,,,,
1947,19.3,14.5,26.7,40.1,49.8,61.4,68.7,74.1,60.5,56.7,27.5,19.5,43.2,,,,,,
1948,9.0,15.1,27.0,47.3,53.7,64.0,70.5,69.1,63.1,47.3,36.0,20.1,43.5,,,,,,
1949,17.4,16.3,28.2,44.3,57.0,68.5,72.0,69.3,55.4,51.0,34.0,20.8,44.5,,,,,,
1950,12.9,16.3,23.1,35.2,53.6,64.4,66.0,62.8,58.1,51.8,28.1,12.7,40.4,,,,,,
1951,10.9,16.9,24.3,40.9,58.6,61.4,68.1,64.0,55.4,47.5,24.7,17.5,40.9,,,,,,
1952,15.5,22.6,25.7,46.3,54.5,66.5,70.7,66.0,59.4,42.1,34.8,24.2,44.0,,,,,,
1953,19.0,18.4,30.0,39.5,55.0,66.7,69.1,69.0,59.2,53.3,37.6,22.8,45.0,,,,,,
1954,13.5,28.4,26.8,44.9,49.5,67.3,69.5,65.8,58.2,46.6,35.6,21.9,44.0,,,,,,
1955,14.2,15.9,25.4,49.8,58.3,64.1,74.4,72.1,59.8,49.2,27.7,14.5,43.8,,,,,,
1956,16.1,16.2,24.6,39.9,53.9,67.5,66.0,67.0,56.0,53.6,32.6,22.0,43.0,,,,,,
1957,8.5,20.2,28.9,44.2,53.7,64.5,71.1,67.0,56.9,46.1,32.2,23.0,43.0,,,,,,
1958,18.8,13.7,30.3,44.4,55.2,60.0,67.1,67.7,59.7,50.3,34.7,12.8,42.9,,,,,,
1959,7.7,13.1,27.4,43.4,59.0,66.4,68.8,71.4,60.4,43.7,24.2,27.5,42.8,,,,,,
1960,17.8,18.6,19.3,44.8,53.8,61.9,67.7,68.7,60.6,47.8,35.5,17.7,42.9,,,,,,
1961,14.0,24.6,32.1,39.3,52.4,65.0,68.6,68.6,59.4,49.4,32.7,17.2,43.6,,,,,,
1962,9.7,14.0,27.7,41.9,59.2,63.7,65.9,66.8,55.7,49.9,34.4,18.5,42.3,,,,,,
1963,4.1,10.7,30.9,45.6,53.2,66.6,70.4,65.5,59.3,57.0,37.9,11.2,42.7,,,,,,
1964,20.6,21.2,26.9,44.2,59.7,65.0,71.5,64.8,57.4,46.1,35.9,15.3,44.1,,,,,,
1965,11.2,13.1,21.4,40.3,58.4,63.0,67.0,65.4,54.7,48.4,32.9,26.6,41.9,,,,,,
1966,6.3,17.5,32.8,40.2,50.5,65.8,71.8,65.3,57.7,46.9,32.3,19.2,42.2,,,,,,
1967,17.2,10.5,29.1,43.2,49.7,64.8,66.8,63.4,57.5,46.1,29.9,21.5,41.6,,,,,,
1968,14.6,14.9,36.6,45.6,52.2,64.0,68.1,67.4,59.2,49.7,33.3,18.6,43.7,,,,,,
1969,12.0,19.2,24.3,45.2,55.8,57.9,68.4,69.8,58.8,44.7,31.6,20.5,42.4,,,,,,
